subject_id,speech_rate,speech_rate_ratio,verbal_fluency,lexical_richness,word_repetition_score,voice_fluency_pauses,voice_fluency_weighted,pause_level1_count,pause_level2_count,pause_level3_count,total_pause_time,total_speaking_time
0432,0.3609,0.9,19,19,0.0,10,16,7,3,0,39.72,12.92
0433,0.8383,0.97,44,37,0.1892,5,7,4,1,0,20.8,31.69
0434,0.5777,1.0,28,26,0.0769,8,12,6,2,0,28.39,20.07
0435,0.2513,0.86,13,13,0.0,4,16,0,2,2,43.79,7.94
0436,0.3945,1.0,22,20,0.1,8,14,6,1,1,39.87,15.9
0437,0.4458,1.0,24,21,0.1429,7,15,5,0,2,40.23,13.61
0438,0.5205,0.93,26,25,0.04,8,12,7,0,1,32.15,17.81
0439,0.5403,1.0,26,26,0.0,5,13,2,2,1,27.32,20.79
0440,0.4303,1.0,24,19,0.2632,11,15,9,2,0,40.41,15.36
0441,0.497,1.0,25,22,0.0909,7,13,4,3,0,34.06,16.24
0442,0.3746,1.0,20,19,0.0526,9,13,7,2,0,38.68,14.71
0443,0.3379,1.0,18,17,0.0588,5,11,3,1,1,32.18,21.09
0444,0.4465,1.0,23,23,0.0,10,12,9,1,0,37.97,13.54
0445,0.1054,1.0,6,6,0.0,2,6,1,0,1,54.26,2.68
0446,0.5116,1.0,26,24,0.0833,9,13,8,0,1,36.32,14.5
0447,0.3744,1.0,21,15,0.2,3,11,1,0,2,41.15,14.94
0448,0.8261,0.96,34,31,0.0645,3,3,3,0,0,6.69,34.46
0449,0.4327,0.92,23,22,0.0455,6,16,3,1,2,41.68,11.47
0450,1.0633,0.98,53,39,0.2564,3,3,3,0,0,10.24,39.6
0451,0.43,0.93,22,20,0.1,10,14,8,2,0,37.96,13.2
0452,0.6112,1.0,29,25,0.16,7,9,6,1,0,29.06,18.39
0453,0.4255,1.0,22,22,0.0,7,15,4,2,1,38.26,13.44
0454,0.736,0.95,33,27,0.1852,6,8,5,1,0,23.73,21.1
0456,0.222,1.0,12,12,0.0,7,17,4,1,2,44.13,9.93
0457,0.292,1.0,16,16,0.0,6,14,4,0,2,42.39,12.41
0458,0.8517,1.0,35,32,0.0938,6,6,6,0,0,17.46,23.63
0459,0.2384,1.0,13,13,0.0,7,13,5,1,1,45.83,8.7
0460,0.5121,1.0,26,24,0.0833,8,16,5,2,1,35.86,14.91
0461,0.6857,1.0,31,31,0.0,4,4,4,0,0,17.1,28.1
0462,0.7876,0.96,37,36,0.0278,7,7,7,0,0,20.61,26.37
0463,0.6434,0.94,32,32,0.0,7,13,4,3,0,33.89,15.85
0464,0.4475,1.0,24,24,0.0,7,13,5,1,1,40.56,13.07
0465,0.3621,1.0,18,15,0.2,9,11,8,1,0,33.12,16.59
0466,0.3213,0.89,17,15,0.1333,8,18,4,3,1,43.7,9.21
0467,1.0557,1.0,55,43,0.2326,1,1,1,0,0,2.4,49.7
0468,0.6565,0.95,30,27,0.1111,10,10,10,0,0,26.65,19.05
0469,0.358,1.0,20,19,0.0526,5,15,2,1,2,41.13,14.74
